(0, 2, 1)
(2, 0, 3)
(4, 1, 5)
(6, 3, 7)
(8, 2, 9)
(10, 3, 11)
(12, 3, 13)
(14, 0, 15)
(16, 2, 5)
(0, 2, 17)
(18, 0, 19)
(20, 2, 4)
(21, 1, 22)
(23, 0, 24)
(25, 3, 26)
(27, 3, 28)
(29, 1, 27)
(30, 3, 31)
(32, 3, 33)
(34, 3, 35)
(36, 3, 37)
(38, 3, 39)
(40, 1, 41)
(38, 3, 42)
(43, 3, 44)
(45, 2, 46)
(10, 3, 47)
(48, 2, 49)
(50, 1, 51)
(36, 2, 52)
(14, 1, 53)
(54, 3, 18)
(55, 3, 37)
(56, 3, 57)
(58, 3, 59)
(60, 2, 20)
(55, 3, 61)
(50, 1, 62)
(30, 3, 29)
(58, 3, 63)
(10, 3, 64)
(8, 0, 65)
(66, 1, 67)
(68, 1, 41)
(0, 3, 51)
(69, 2, 25)
(30, 3, 70)
(24, 3, 70)
(12, 3, 70)
(6, 3, 71)
(72, 3, 70)
(73, 3, 74)
(75, 1, 61)
(76, 1, 77)
(32, 1, 78)
(45, 3, 79)
(80, 0, 81)
(65, 3, 82)
(83, 2, 72)
(84, 1, 25)
(2, 3, 85)
(14, 0, 86)
(87, 3, 88)
(29, 0, 89)
(73, 2, 90)
(91, 1, 92)
(80, 2, 93)
(85, 3, 51)
(94, 1, 95)
(54, 3, 23)
(96, 3, 70)
(83, 3, 70)
(61, 2, 62)
(14, 3, 70)
(97, 1, 98)
(36, 3, 51)
(91, 3, 34)
(54, 3, 79)
(40, 3, 70)
(99, 3, 100)
(23, 2, 101)
(102, 3, 26)
(54, 1, 70)
(2, 3, 98)
(61, 3, 27)
(103, 0, 104)
(105, 3, 106)
(107, 2, 72)
(102, 3, 108)
(35, 2, 64)
(109, 2, 110)
(94, 3, 9)
(111, 3, 10)
(0, 1, 27)
(107, 2, 46)
(30, 2, 84)
(35, 0, 112)
(113, 3, 114)
(72, 3, 35)
(69, 3, 27)
(60, 1, 115)
(40, 2, 64)
(58, 2, 116)
(117, 3, 33)
(118, 3, 119)
(8, 3, 120)
(68, 3, 27)
(34, 1, 40)
(11, 3, 34)
(27, 3, 121)
(25, 3, 80)
(54, 3, 122)
(99, 3, 123)
(118, 0, 97)
(109, 3, 124)
(50, 3, 61)
(24, 1, 10)
(105, 1, 125)
(65, 0, 126)
(65, 2, 95)
(2, 1, 127)
(128, 3, 36)
(32, 1, 129)
(35, 3, 96)
(20, 0, 119)
(130, 2, 72)
(69, 3, 131)
(87, 3, 132)
(10, 0, 72)
(48, 3, 37)
(111, 2, 133)
(73, 1, 70)
(54, 3, 26)
(48, 1, 104)
(83, 0, 111)
(38, 3, 134)
(83, 0, 13)
(68, 0, 25)
(21, 3, 104)
(130, 3, 27)
(20, 3, 70)
(102, 3, 135)
(136, 3, 115)
(132, 3, 29)
(102, 1, 18)
(11, 0, 137)
(138, 2, 16)
(75, 3, 139)
(32, 3, 90)
(76, 3, 57)
(140, 3, 51)
(0, 0, 141)
(142, 0, 87)
(128, 2, 52)
(68, 2, 61)
(25, 2, 29)
(38, 3, 143)
(68, 1, 144)
(57, 2, 52)
(66, 3, 145)
(25, 1, 70)
(85, 3, 61)
(129, 0, 146)
(69, 3, 84)
(73, 3, 129)
(54, 3, 111)
(105, 3, 147)
(11, 1, 70)
(132, 3, 70)
(43, 1, 148)
(10, 2, 40)
(2, 3, 14)
(2, 3, 119)
(66, 0, 149)
(30, 1, 27)
(65, 3, 120)
(21, 1, 150)
(117, 3, 96)
(27, 3, 51)
(47, 0, 49)
(61, 3, 70)
(4, 3, 151)
(21, 3, 62)
(99, 2, 65)
(29, 3, 129)
(94, 1, 82)
(45, 3, 27)
(152, 1, 4)
(10, 3, 85)
(48, 1, 150)
(21, 0, 37)
(128, 3, 37)
(35, 1, 70)
(8, 0, 126)
(32, 0, 153)
(85, 2, 117)
(21, 3, 36)
(65, 1, 154)
(84, 1, 75)
(11, 2, 64)
(140, 3, 36)
(60, 0, 155)
(40, 0, 85)
(84, 3, 156)
(66, 3, 157)
(27, 3, 158)
(128, 0, 57)
(12, 1, 159)
(34, 1, 70)
(97, 3, 2)
(30, 0, 131)
(34, 0, 160)
(99, 1, 154)
(14, 2, 40)
(96, 3, 40)
(57, 3, 37)
(24, 2, 161)
(103, 1, 43)
(14, 0, 98)
(102, 0, 162)
(111, 1, 45)
(45, 0, 163)
(4, 0, 164)
(85, 1, 91)
(117, 0, 72)
(68, 3, 29)
(29, 3, 70)
(80, 3, 165)
(40, 1, 144)
(61, 2, 166)
(61, 1, 144)
(140, 2, 167)
(23, 1, 10)
(58, 0, 168)
(109, 3, 115)
(117, 1, 70)
(80, 1, 169)
(6, 1, 104)
(111, 2, 13)
(12, 3, 83)
(130, 2, 170)
(136, 3, 54)
(118, 3, 98)
(60, 3, 91)
(61, 1, 41)
(118, 3, 70)
(20, 3, 85)
(58, 3, 171)
(109, 3, 172)
(75, 2, 29)
(8, 1, 173)
(83, 3, 10)
(18, 3, 27)
(85, 3, 34)
(8, 1, 113)
(29, 3, 51)
(103, 2, 6)
(50, 3, 37)
(96, 3, 64)
(30, 3, 51)
(30, 3, 45)
(12, 3, 10)
(38, 3, 174)
(136, 0, 122)
(65, 3, 44)
(20, 3, 91)
(66, 2, 175)
(57, 3, 51)
(47, 3, 85)
(129, 3, 74)
(10, 1, 96)
(43, 1, 176)
(11, 2, 72)
(61, 1, 29)
(55, 2, 166)
(32, 3, 27)
(105, 3, 177)
(129, 3, 70)
(88, 3, 84)
(57, 3, 62)
(84, 0, 178)
(45, 1, 10)
(85, 3, 27)
(32, 0, 179)
(73, 0, 35)
(75, 3, 180)
(32, 2, 181)
(129, 1, 90)
(83, 1, 182)
(18, 3, 83)
(34, 1, 72)
(105, 3, 183)
(140, 3, 184)
(34, 3, 27)
(113, 1, 95)
(152, 3, 0)
(149, 3, 76)
(142, 2, 25)
(8, 3, 100)
(114, 3, 58)
(72, 3, 96)
(107, 3, 70)
(118, 3, 85)
(43, 1, 185)
(36, 1, 62)
(96, 2, 186)
(13, 0, 79)
(50, 1, 57)
(34, 2, 117)
(99, 0, 95)
(114, 1, 187)
(47, 3, 35)
(25, 3, 188)
(102, 2, 189)
(43, 3, 114)
(118, 2, 40)
(40, 0, 47)
(136, 1, 159)
(6, 1, 150)
(97, 3, 70)
(18, 3, 122)
(140, 0, 37)
(76, 2, 52)
(136, 3, 97)
(75, 3, 190)
(97, 3, 91)
(13, 2, 191)
(10, 3, 70)
(140, 1, 27)
(30, 3, 75)
(87, 2, 25)
(99, 3, 58)
(107, 3, 111)
(128, 2, 56)
(91, 0, 192)
(32, 3, 70)
(10, 3, 91)
(111, 3, 27)
(96, 0, 18)
